$0;1704998672775776504;1.15-SNAPSHOT;KIEKER;0db502b57f13;1;false;0;NANOSECONDS;0
$1;1704998681931308730;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681931146982;1704998681931304071;0db502b57f13;80;4
$1;1704998681934847513;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681932522115;1704998681934824529;0db502b57f13;78;4
$1;1704998681934921774;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681928922467;1704998681934914049;0db502b57f13;75;3
$1;1704998681935172721;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681935035099;1704998681935163954;0db502b57f13;81;5
$1;1704998681935202737;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681933550168;1704998681935191506;0db502b57f13;82;4
$1;1704998681935218688;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681935004681;1704998681935212677;0db502b57f13;80;4
$1;1704998681935227184;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681931100774;1704998681935220882;0db502b57f13;79;3
$1;1704998681935406123;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681935306254;1704998681935392588;0db502b57f13;85;5
$1;1704998681935439908;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681935287007;1704998681935434267;0db502b57f13;84;4
$1;1704998681939445637;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681937719168;1704998681939424688;0db502b57f13;86;4
$1;1704998681939545056;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681935242783;1704998681939537282;0db502b57f13;83;3
$1;1704998681939751559;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681939644044;1704998681939744796;0db502b57f13;89;5
$1;1704998681939791535;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681939615751;1704998681939785934;0db502b57f13;88;4
$1;1704998681941154324;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681938825390;1704998681941118446;0db502b57f13;82;4
$1;1704998681941200702;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681934949256;1704998681941192937;0db502b57f13;79;3
$1;1704998681941495522;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681941326381;1704998681941485062;0db502b57f13;85;5
$1;1704998681941544766;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681941287627;1704998681941538223;0db502b57f13;84;4
$1;1704998681943742921;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681942077988;1704998681943722823;0db502b57f13;90;4
$1;1704998681943841368;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681939569873;1704998681943832682;0db502b57f13;87;3
$1;1704998681944071235;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681943952139;1704998681944064181;0db502b57f13;93;5
$1;1704998681944109858;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681943925107;1704998681944105059;0db502b57f13;92;4
$1;1704998681947360170;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681944997675;1704998681947336224;0db502b57f13;86;4
$1;1704998681947455150;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681941230559;1704998681947447526;0db502b57f13;83;3
$1;1704998681947789165;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681947607319;1704998681947778164;0db502b57f13;89;5
$1;1704998681947842476;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681947571381;1704998681947836445;0db502b57f13;88;4
$1;1704998681948108975;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681946537931;1704998681948098806;0db502b57f13;94;4
$1;1704998681948136658;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681943873579;1704998681948130757;0db502b57f13;91;3
$1;1704998681948375382;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681948222942;1704998681948368599;0db502b57f13;97;5
$1;1704998681948411711;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681948202984;1704998681948406601;0db502b57f13;96;4
$1;1704998681965217582;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681963109207;1704998681965157779;0db502b57f13;90;4
$1;1704998681965295591;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681947483023;1704998681965283698;0db502b57f13;87;3
$1;1704998681965587034;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681965428082;1704998681965576725;0db502b57f13;93;5
$1;1704998681965641548;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681965393947;1704998681965636739;0db502b57f13;92;4
$1;1704998681966458543;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681964157812;1704998681966439407;0db502b57f13;98;4
$1;1704998681966511183;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505483;1704998681948154532;1704998681966503058;0db502b57f13;95;3
$1;1704998681966766418;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505483;1704998681966618607;1704998681966758092;0db502b57f13;101;5
$1;1704998681966810111;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505483;1704998681966588650;1704998681966804921;0db502b57f13;100;4
$1;1704998681971137449;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681968837680;1704998681971102532;0db502b57f13;94;4
$1;1704998681971390821;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;154670499702505482;1704998681965324636;1704998681971235134;0db502b57f13;91;3
$1;1704998681971879299;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;154670499702505482;1704998681971656576;1704998681971864782;0db502b57f13;97;5
$1;1704998681972026569;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;154670499702505482;1704998681971595390;1704998681972015418;0db502b57f13;96;4
